task_id,field,db,api,dom,verdict
t_a3c32c39,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_a3c32c39,priority,300,300,NULL,OMITTED_NONZERO
t_a3c32c39,cost_effective_usd,0.8912872900000001,0.8912872900000001,"$0,89",MATCH
t_a3c32c39,comment_count,4,4,NULL,OMITTED_NONZERO
t_a3c32c39,link_parents,0,0,NULL,IMPLICIT_ZERO
t_a3c32c39,link_children,0,0,NULL,IMPLICIT_ZERO
t_a3c32c39,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_a3c32c39,created_at,1783884390,1783884390,NULL,OMITTED_NON_NULL
t_a3c32c39,started_at,1783884396,1783884396,NULL,OMITTED_NON_NULL
t_a3c32c39,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_a3c32c39,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_a3c32c39,last_heartbeat_at,1783886378,1783886378,NULL,OMITTED_NON_NULL
t_decc886b,title,Routing-Smoke R2 research: Grok 4.5,Routing-Smoke R2 research: Grok 4.5,Routing-Smoke R2 research: Grok 4.5,MATCH
t_decc886b,status,blocked,blocked,blocked,MATCH
t_decc886b,assignee,premium,premium,P,PARTIAL_INITIAL_ONLY
t_decc886b,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_decc886b,priority,250,250,NULL,OMITTED_NONZERO
t_decc886b,cost_effective_usd,0.7403675,0.7403675,"$0,74",MATCH
t_decc886b,comment_count,7,7,NULL,OMITTED_NONZERO
t_decc886b,link_parents,0,0,NULL,IMPLICIT_ZERO
t_decc886b,link_children,0,0,NULL,IMPLICIT_ZERO
t_decc886b,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_decc886b,created_at,1783883679,1783883679,NULL,OMITTED_NON_NULL
t_decc886b,started_at,1783883717,1783883717,NULL,OMITTED_NON_NULL
t_decc886b,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_decc886b,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_decc886b,last_heartbeat_at,1783884522,1783884522,NULL,OMITTED_NON_NULL
t_d764400c,title,Routing-Smoke R2 critic: Grok 4.5,Routing-Smoke R2 critic: Grok 4.5,Routing-Smoke R2 critic: Grok 4.5,MATCH
t_d764400c,status,blocked,blocked,blocked,MATCH
t_d764400c,assignee,premium,premium,P,PARTIAL_INITIAL_ONLY
t_d764400c,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_d764400c,priority,250,250,NULL,OMITTED_NONZERO
t_d764400c,cost_effective_usd,2.17492405,2.17492405,"$2,17",MATCH
t_d764400c,comment_count,8,8,NULL,OMITTED_NONZERO
t_d764400c,link_parents,0,0,NULL,IMPLICIT_ZERO
t_d764400c,link_children,0,0,NULL,IMPLICIT_ZERO
t_d764400c,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_d764400c,created_at,1783883680,1783883680,NULL,OMITTED_NON_NULL
t_d764400c,started_at,1783883718,1783883718,NULL,OMITTED_NON_NULL
t_d764400c,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_d764400c,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_d764400c,last_heartbeat_at,1783884782,1783884782,NULL,OMITTED_NON_NULL
t_5536f04e,title,Routing-Smoke R2 coder: Kimi K2.7 Code,Routing-Smoke R2 coder: Kimi K2.7 Code,Routing-Smoke R2 coder: Kimi K2.7 Code,MATCH
t_5536f04e,status,blocked,blocked,blocked,MATCH
t_5536f04e,assignee,premium,premium,P,PARTIAL_INITIAL_ONLY
t_5536f04e,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_5536f04e,priority,250,250,NULL,OMITTED_NONZERO
t_5536f04e,cost_effective_usd,1.1471,1.1471,"$1,15",MATCH
t_5536f04e,comment_count,6,6,NULL,OMITTED_NONZERO
t_5536f04e,link_parents,0,0,NULL,IMPLICIT_ZERO
t_5536f04e,link_children,0,0,NULL,IMPLICIT_ZERO
t_5536f04e,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_5536f04e,created_at,1783883681,1783883681,NULL,OMITTED_NON_NULL
t_5536f04e,started_at,1783883781,1783883781,NULL,OMITTED_NON_NULL
t_5536f04e,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_5536f04e,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_5536f04e,last_heartbeat_at,1783884659,1783884659,NULL,OMITTED_NON_NULL
t_bda1424a,title,F-01 Board cards omit operator-relevant payload fields,F-01 Board cards omit operator-relevant payload fields,F-01 Board cards omit operator-relevant payload fields,MATCH
t_bda1424a,status,blocked,blocked,blocked,MATCH
t_bda1424a,assignee,NULL,NULL,?,MATCH_NULL_MARKER
t_bda1424a,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_bda1424a,priority,0,0,NULL,IMPLICIT_ZERO
t_bda1424a,cost_effective_usd,NULL,NULL,NULL,IMPLICIT_ZERO_OR_NULL
t_bda1424a,comment_count,0,0,NULL,IMPLICIT_ZERO
t_bda1424a,link_parents,0,0,NULL,IMPLICIT_ZERO
t_bda1424a,link_children,0,0,NULL,IMPLICIT_ZERO
t_bda1424a,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_bda1424a,created_at,1783886471,1783886471,NULL,OMITTED_NON_NULL
t_bda1424a,started_at,NULL,NULL,NULL,IMPLICIT_NULL
t_bda1424a,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_bda1424a,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_bda1424a,last_heartbeat_at,NULL,NULL,NULL,IMPLICIT_NULL
t_0163e3a4,title,F-02 Ellipsized Board titles have no full-value recovery,F-02 Ellipsized Board titles have no full-value recovery,F-02 Ellipsized Board titles have no full-value recovery,MATCH
t_0163e3a4,status,blocked,blocked,blocked,MATCH
t_0163e3a4,assignee,NULL,NULL,?,MATCH_NULL_MARKER
t_0163e3a4,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_0163e3a4,priority,0,0,NULL,IMPLICIT_ZERO
t_0163e3a4,cost_effective_usd,NULL,NULL,NULL,IMPLICIT_ZERO_OR_NULL
t_0163e3a4,comment_count,0,0,NULL,IMPLICIT_ZERO
t_0163e3a4,link_parents,0,0,NULL,IMPLICIT_ZERO
t_0163e3a4,link_children,0,0,NULL,IMPLICIT_ZERO
t_0163e3a4,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_0163e3a4,created_at,1783886472,1783886472,NULL,OMITTED_NON_NULL
t_0163e3a4,started_at,NULL,NULL,NULL,IMPLICIT_NULL
t_0163e3a4,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_0163e3a4,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_0163e3a4,last_heartbeat_at,NULL,NULL,NULL,IMPLICIT_NULL
t_6ce33433,title,F-06 Archiv filter falsely reports no matches,F-06 Archiv filter falsely reports no matches,F-06 Archiv filter falsely reports no matches,MATCH
t_6ce33433,status,blocked,blocked,blocked,MATCH
t_6ce33433,assignee,NULL,NULL,?,MATCH_NULL_MARKER
t_6ce33433,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_6ce33433,priority,0,0,NULL,IMPLICIT_ZERO
t_6ce33433,cost_effective_usd,NULL,NULL,NULL,IMPLICIT_ZERO_OR_NULL
t_6ce33433,comment_count,0,0,NULL,IMPLICIT_ZERO
t_6ce33433,link_parents,0,0,NULL,IMPLICIT_ZERO
t_6ce33433,link_children,0,0,NULL,IMPLICIT_ZERO
t_6ce33433,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_6ce33433,created_at,1783886473,1783886473,NULL,OMITTED_NON_NULL
t_6ce33433,started_at,NULL,NULL,NULL,IMPLICIT_NULL
t_6ce33433,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_6ce33433,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_6ce33433,last_heartbeat_at,NULL,NULL,NULL,IMPLICIT_NULL
t_2765f4cc,title,[Release-Gate] Dashboard build + runtime activation check for t_cb56168b,[Release-Gate] Dashboard build + runtime activation check for t_cb56168b,[Release-Gate] Dashboard build + runtime activation check for t_cb56168b,MATCH
t_2765f4cc,status,blocked,blocked,blocked,MATCH
t_2765f4cc,assignee,verifier,verifier,V,PARTIAL_INITIAL_ONLY
t_2765f4cc,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_2765f4cc,priority,0,0,NULL,IMPLICIT_ZERO
t_2765f4cc,cost_effective_usd,NULL,NULL,NULL,IMPLICIT_ZERO_OR_NULL
t_2765f4cc,comment_count,0,0,NULL,IMPLICIT_ZERO
t_2765f4cc,link_parents,1,1,NULL,OMITTED_NONZERO
t_2765f4cc,link_children,0,0,NULL,IMPLICIT_ZERO
t_2765f4cc,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_2765f4cc,created_at,1783892923,1783892923,NULL,OMITTED_NON_NULL
t_2765f4cc,started_at,NULL,NULL,NULL,IMPLICIT_NULL
t_2765f4cc,completed_at,NULL,NULL,NULL,IMPLICIT_NULL
t_2765f4cc,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_2765f4cc,last_heartbeat_at,NULL,NULL,NULL,IMPLICIT_NULL
t_cb56168b,title,"Premium fix: Agent-Terminal close guard, copy, and rendering","Premium fix: Agent-Terminal close guard, copy, and rendering","Premium fix: Agent-Terminal close guard, copy, and rendering",MATCH
t_cb56168b,status,done,done,done,MATCH
t_cb56168b,assignee,premium,premium,P,PARTIAL_INITIAL_ONLY
t_cb56168b,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_cb56168b,priority,550,550,NULL,OMITTED_NONZERO
t_cb56168b,cost_effective_usd,12.580675,12.580675,"$12,58",MATCH
t_cb56168b,comment_count,8,8,NULL,OMITTED_NONZERO
t_cb56168b,link_parents,0,0,NULL,IMPLICIT_ZERO
t_cb56168b,link_children,1,1,1,MATCH
t_cb56168b,progress,"{""done"": 0, ""total"": 1}","{""done"": 0, ""total"": 1}",0/1,MATCH
t_cb56168b,created_at,1783889297,1783889297,NULL,OMITTED_NON_NULL
t_cb56168b,started_at,1783889353,1783889353,NULL,OMITTED_NON_NULL
t_cb56168b,completed_at,1783892558,1783892558,NULL,OMITTED_NON_NULL
t_cb56168b,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_cb56168b,last_heartbeat_at,1783892500,1783892500,NULL,OMITTED_NON_NULL
t_e8256c42,title,Routing-Smoke R3 research,Routing-Smoke R3 research,Routing-Smoke R3 research,MATCH
t_e8256c42,status,done,done,done,MATCH
t_e8256c42,assignee,research,research,R,PARTIAL_INITIAL_ONLY
t_e8256c42,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_e8256c42,priority,300,300,NULL,OMITTED_NONZERO
t_e8256c42,cost_effective_usd,0.0,0.0,NULL,IMPLICIT_ZERO_OR_NULL
t_e8256c42,comment_count,1,1,NULL,OMITTED_NONZERO
t_e8256c42,link_parents,0,0,NULL,IMPLICIT_ZERO
t_e8256c42,link_children,0,0,NULL,IMPLICIT_ZERO
t_e8256c42,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_e8256c42,created_at,1783884388,1783884388,NULL,OMITTED_NON_NULL
t_e8256c42,started_at,1783884395,1783884395,NULL,OMITTED_NON_NULL
t_e8256c42,completed_at,1783884416,1783884416,NULL,OMITTED_NON_NULL
t_e8256c42,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_e8256c42,last_heartbeat_at,1783884400,1783884400,NULL,OMITTED_NON_NULL
t_dfe1e90e,title,Routing-Smoke R3 critic,Routing-Smoke R3 critic,Routing-Smoke R3 critic,MATCH
t_dfe1e90e,status,done,done,done,MATCH
t_dfe1e90e,assignee,critic,critic,C,PARTIAL_INITIAL_ONLY
t_dfe1e90e,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_dfe1e90e,priority,300,300,NULL,OMITTED_NONZERO
t_dfe1e90e,cost_effective_usd,0.0,0.0,NULL,IMPLICIT_ZERO_OR_NULL
t_dfe1e90e,comment_count,1,1,NULL,OMITTED_NONZERO
t_dfe1e90e,link_parents,0,0,NULL,IMPLICIT_ZERO
t_dfe1e90e,link_children,0,0,NULL,IMPLICIT_ZERO
t_dfe1e90e,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_dfe1e90e,created_at,1783884389,1783884389,NULL,OMITTED_NON_NULL
t_dfe1e90e,started_at,1783884395,1783884395,NULL,OMITTED_NON_NULL
t_dfe1e90e,completed_at,1783884420,1783884420,NULL,OMITTED_NON_NULL
t_dfe1e90e,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_dfe1e90e,last_heartbeat_at,1783884400,1783884400,NULL,OMITTED_NON_NULL
t_9421b4a4,title,Routing-Smoke R3 reviewer,Routing-Smoke R3 reviewer,Routing-Smoke R3 reviewer,MATCH
t_9421b4a4,status,done,done,done,MATCH
t_9421b4a4,assignee,reviewer,reviewer,R,PARTIAL_INITIAL_ONLY
t_9421b4a4,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_9421b4a4,priority,300,300,NULL,OMITTED_NONZERO
t_9421b4a4,cost_effective_usd,0.058003,0.058003,"$0,06",MATCH
t_9421b4a4,comment_count,1,1,NULL,OMITTED_NONZERO
t_9421b4a4,link_parents,0,0,NULL,IMPLICIT_ZERO
t_9421b4a4,link_children,0,0,NULL,IMPLICIT_ZERO
t_9421b4a4,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_9421b4a4,created_at,1783884391,1783884391,NULL,OMITTED_NON_NULL
t_9421b4a4,started_at,1783884458,1783884458,NULL,OMITTED_NON_NULL
t_9421b4a4,completed_at,1783884476,1783884476,NULL,OMITTED_NON_NULL
t_9421b4a4,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_9421b4a4,last_heartbeat_at,1783884462,1783884462,NULL,OMITTED_NON_NULL
t_966f399c,title,Routing-Smoke R3 premium,Routing-Smoke R3 premium,Routing-Smoke R3 premium,MATCH
t_966f399c,status,done,done,done,MATCH
t_966f399c,assignee,premium,premium,P,PARTIAL_INITIAL_ONLY
t_966f399c,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_966f399c,priority,300,300,NULL,OMITTED_NONZERO
t_966f399c,cost_effective_usd,0.6662145,0.6662145,"$0,67",MATCH
t_966f399c,comment_count,4,4,NULL,OMITTED_NONZERO
t_966f399c,link_parents,0,0,NULL,IMPLICIT_ZERO
t_966f399c,link_children,0,0,NULL,IMPLICIT_ZERO
t_966f399c,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_966f399c,created_at,1783884391,1783884391,NULL,OMITTED_NON_NULL
t_966f399c,started_at,1783884458,1783884458,NULL,OMITTED_NON_NULL
t_966f399c,completed_at,1783884612,1783884612,NULL,OMITTED_NON_NULL
t_966f399c,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_966f399c,last_heartbeat_at,1783884601,1783884601,NULL,OMITTED_NON_NULL
t_f1dc0a6f,title,Routing-Smoke R2 reviewer: GPT-5.6 Sol,Routing-Smoke R2 reviewer: GPT-5.6 Sol,Routing-Smoke R2 reviewer: GPT-5.6 Sol,MATCH
t_f1dc0a6f,status,done,done,done,MATCH
t_f1dc0a6f,assignee,reviewer,reviewer,R,PARTIAL_INITIAL_ONLY
t_f1dc0a6f,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_f1dc0a6f,priority,250,250,NULL,OMITTED_NONZERO
t_f1dc0a6f,cost_effective_usd,0.108382,0.108382,"$0,11",MATCH
t_f1dc0a6f,comment_count,1,1,NULL,OMITTED_NONZERO
t_f1dc0a6f,link_parents,0,0,NULL,IMPLICIT_ZERO
t_f1dc0a6f,link_children,0,0,NULL,IMPLICIT_ZERO
t_f1dc0a6f,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_f1dc0a6f,created_at,1783883682,1783883682,NULL,OMITTED_NON_NULL
t_f1dc0a6f,started_at,1783883843,1783883843,NULL,OMITTED_NON_NULL
t_f1dc0a6f,completed_at,1783883863,1783883863,NULL,OMITTED_NON_NULL
t_f1dc0a6f,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_f1dc0a6f,last_heartbeat_at,1783883847,1783883847,NULL,OMITTED_NON_NULL
t_51fed204,title,Routing-Smoke R2 premium: Claude CLI Opus 4.8,Routing-Smoke R2 premium: Claude CLI Opus 4.8,Routing-Smoke R2 premium: Claude CLI Opus 4.8,MATCH
t_51fed204,status,done,done,done,MATCH
t_51fed204,assignee,premium,premium,P,PARTIAL_INITIAL_ONLY
t_51fed204,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_51fed204,priority,250,250,NULL,OMITTED_NONZERO
t_51fed204,cost_effective_usd,0.6028199999999999,0.6028199999999999,"$0,60",MATCH
t_51fed204,comment_count,4,4,NULL,OMITTED_NONZERO
t_51fed204,link_parents,0,0,NULL,IMPLICIT_ZERO
t_51fed204,link_children,0,0,NULL,IMPLICIT_ZERO
t_51fed204,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_51fed204,created_at,1783883683,1783883683,NULL,OMITTED_NON_NULL
t_51fed204,started_at,1783883843,1783883843,NULL,OMITTED_NON_NULL
t_51fed204,completed_at,1783883984,1783883984,NULL,OMITTED_NON_NULL
t_51fed204,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_51fed204,last_heartbeat_at,1783883971,1783883971,NULL,OMITTED_NON_NULL
t_26c016df,title,Routing-Smoke research: Grok 4.5,Routing-Smoke research: Grok 4.5,Routing-Smoke research: Grok 4.5,MATCH
t_26c016df,status,done,done,done,MATCH
t_26c016df,assignee,research,research,R,PARTIAL_INITIAL_ONLY
t_26c016df,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_26c016df,priority,200,200,NULL,OMITTED_NONZERO
t_26c016df,cost_effective_usd,0.0,0.0,NULL,IMPLICIT_ZERO_OR_NULL
t_26c016df,comment_count,2,2,NULL,OMITTED_NONZERO
t_26c016df,link_parents,0,0,NULL,IMPLICIT_ZERO
t_26c016df,link_children,0,0,NULL,IMPLICIT_ZERO
t_26c016df,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_26c016df,created_at,1783883214,1783883214,NULL,OMITTED_NON_NULL
t_26c016df,started_at,1783883272,1783883272,NULL,OMITTED_NON_NULL
t_26c016df,completed_at,1783883396,1783883396,NULL,OMITTED_NON_NULL
t_26c016df,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_26c016df,last_heartbeat_at,1783883276,1783883276,NULL,OMITTED_NON_NULL
t_926008de,title,Routing-Smoke critic: Grok statt Claude,Routing-Smoke critic: Grok statt Claude,Routing-Smoke critic: Grok statt Claude,MATCH
t_926008de,status,done,done,done,MATCH
t_926008de,assignee,critic,critic,C,PARTIAL_INITIAL_ONLY
t_926008de,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_926008de,priority,200,200,NULL,OMITTED_NONZERO
t_926008de,cost_effective_usd,1.381939,1.381939,"$1,38",MATCH
t_926008de,comment_count,3,3,NULL,OMITTED_NONZERO
t_926008de,link_parents,0,0,NULL,IMPLICIT_ZERO
t_926008de,link_children,0,0,NULL,IMPLICIT_ZERO
t_926008de,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_926008de,created_at,1783883215,1783883215,NULL,OMITTED_NON_NULL
t_926008de,started_at,1783883273,1783883273,NULL,OMITTED_NON_NULL
t_926008de,completed_at,1783883965,1783883965,NULL,OMITTED_NON_NULL
t_926008de,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_926008de,last_heartbeat_at,1783883843,1783883843,NULL,OMITTED_NON_NULL
t_e2d2291e,title,Routing-Smoke coder: Kimi K2.7 bleibt aktiv,Routing-Smoke coder: Kimi K2.7 bleibt aktiv,Routing-Smoke coder: Kimi K2.7 bleibt aktiv,MATCH
t_e2d2291e,status,done,done,done,MATCH
t_e2d2291e,assignee,coder,coder,C,PARTIAL_INITIAL_ONLY
t_e2d2291e,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_e2d2291e,priority,200,200,NULL,OMITTED_NONZERO
t_e2d2291e,cost_effective_usd,0.115674,0.115674,"$0,12",MATCH
t_e2d2291e,comment_count,2,2,NULL,OMITTED_NONZERO
t_e2d2291e,link_parents,0,0,NULL,IMPLICIT_ZERO
t_e2d2291e,link_children,0,0,NULL,IMPLICIT_ZERO
t_e2d2291e,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_e2d2291e,created_at,1783883215,1783883215,NULL,OMITTED_NON_NULL
t_e2d2291e,started_at,1783883273,1783883273,NULL,OMITTED_NON_NULL
t_e2d2291e,completed_at,1783883304,1783883304,NULL,OMITTED_NON_NULL
t_e2d2291e,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_e2d2291e,last_heartbeat_at,1783883298,1783883298,NULL,OMITTED_NON_NULL
t_c3d82913,title,Routing-Smoke reviewer: Sol bleibt Gate,Routing-Smoke reviewer: Sol bleibt Gate,Routing-Smoke reviewer: Sol bleibt Gate,MATCH
t_c3d82913,status,done,done,done,MATCH
t_c3d82913,assignee,reviewer,reviewer,R,PARTIAL_INITIAL_ONLY
t_c3d82913,lane,NULL,NULL,NULL,N/A_NO_TASK_OR_API_FIELD
t_c3d82913,priority,200,200,NULL,OMITTED_NONZERO
t_c3d82913,cost_effective_usd,0.24981299999999998,0.24981299999999998,"$0,25",MATCH
t_c3d82913,comment_count,4,4,NULL,OMITTED_NONZERO
t_c3d82913,link_parents,0,0,NULL,IMPLICIT_ZERO
t_c3d82913,link_children,0,0,NULL,IMPLICIT_ZERO
t_c3d82913,progress,NULL,NULL,NULL,IMPLICIT_NULL
t_c3d82913,created_at,1783883216,1783883216,NULL,OMITTED_NON_NULL
t_c3d82913,started_at,1783883335,1783883335,NULL,OMITTED_NON_NULL
t_c3d82913,completed_at,1783883673,1783883673,NULL,OMITTED_NON_NULL
t_c3d82913,due_at,NULL,NULL,NULL,IMPLICIT_NULL
t_c3d82913,last_heartbeat_at,1783883659,1783883659,NULL,OMITTED_NON_NULL
t_959aacc4,title,Routing-Smoke premium: Claude CLI Opus 4.8,Routing-Smoke premium: Claude CLI Opus 4.8,Routing-Smoke premium: Claude CLI Opus 4.8,MATCH
t_959aacc4,status,done,done,done,MATCH
t_959aacc4,assignee,premium,premium,P,PARTIAL_INITIAL_ONLY
